"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Oct-2025","EQ","572.86","573.80","570.01","571.39","573.50","573.30","572.72","596.00","490.00","5,60,323","32,09,09,918.13","8,760"
"01-Oct-2025","EQ","580.29","580.29","560.00","563.39","572.33","571.39","569.34","596.00","490.00","10,03,091","57,11,02,007.38","13,407"
"30-Sep-2025","EQ","560.01","566.33","560.01","561.67","563.03","563.39","563.22","596.00","490.00","6,23,864","35,13,75,228.47","7,891"
"29-Sep-2025","EQ","562.03","564.98","560.00","562.02","562.26","561.67","562.52","596.00","490.00","5,64,979","31,78,11,085.26","9,415"
"26-Sep-2025","EQ","567.76","567.76","561.00","567.76","562.17","562.02","563.28","596.00","490.00","5,28,944","29,79,43,067.06","13,802"
"25-Sep-2025","EQ","570.61","570.89","567.17","568.32","567.70","567.76","568.98","596.00","490.00","2,53,665","14,43,30,430.41","4,978"
"24-Sep-2025","EQ","572.80","573.98","567.44","572.62","568.86","568.32","569.23","596.00","490.00","6,71,713","38,23,56,135.35","8,435"
"23-Sep-2025","EQ","572.54","574.40","570.01","571.02","572.99","572.62","572.18","596.00","490.00","2,77,910","15,90,14,089.31","5,683"
"22-Sep-2025","EQ","570.01","575.49","570.01","573.47","571.10","571.02","572.70","596.00","490.00","3,33,327","19,08,94,742.67","7,019"
"19-Sep-2025","EQ","578.00","578.00","572.50","575.66","573.50","573.47","573.66","596.00","490.00","4,36,375","25,03,29,653.68","6,584"
"18-Sep-2025","EQ","574.99","576.76","572.77","573.78","575.79","575.66","575.58","596.00","490.00","5,06,883","29,17,51,214.83","7,190"
"17-Sep-2025","EQ","571.00","574.49","569.20","569.83","573.25","573.78","572.97","596.00","490.00","6,07,416","34,80,34,093.71","8,344"
"16-Sep-2025","EQ","567.49","570.28","566.19","567.49","570.20","569.83","569.20","596.00","490.00","3,19,469","18,18,41,640.74","5,539"
"15-Sep-2025","EQ","566.41","569.00","564.91","566.41","567.49","567.49","567.43","596.00","490.00","3,79,546","21,53,66,378.06","9,415"
"12-Sep-2025","EQ","562.01","567.97","562.01","565.48","566.36","566.41","565.96","596.00","490.00","4,19,061","23,71,70,226.22","6,588"
"11-Sep-2025","EQ","564.89","566.38","561.67","563.92","565.20","565.48","564.99","596.00","490.00","4,68,299","26,45,84,508.39","5,503"
"10-Sep-2025","EQ","564.90","564.90","560.41","560.14","563.93","563.92","563.66","596.00","490.00","4,93,053","27,79,16,135.58","11,494"
"09-Sep-2025","EQ","564.89","564.89","559.02","560.49","560.28","560.14","560.00","596.00","490.00","2,92,127","16,35,90,887.52","5,223"
"08-Sep-2025","EQ","564.89","564.90","559.00","559.17","560.89","560.49","560.70","596.00","490.00","3,11,547","17,46,84,078.26","8,170"
"05-Sep-2025","EQ","558.27","562.80","555.46","558.27","559.29","559.17","557.24","596.00","490.00","3,52,833","19,66,14,256.14","7,606"
"04-Sep-2025","EQ","562.81","562.81","557.50","558.58","558.50","558.27","559.79","596.00","490.00","3,14,298","17,59,39,412.57","7,820"
"03-Sep-2025","EQ","561.00","561.00","554.00","554.73","558.00","558.58","555.88","596.00","490.00","4,78,890","26,62,03,425.37","6,679"
"02-Sep-2025","EQ","564.00","564.00","553.96","557.94","554.40","554.73","556.86","596.00","490.00","5,47,654","30,49,66,167.69","10,914"
"01-Sep-2025","EQ","559.99","559.99","555.00","554.99","558.48","557.94","557.11","596.00","490.00","4,59,298","25,58,81,314.99","8,186"
"29-Aug-2025","EQ","557.00","559.60","554.30","556.75","555.37","554.99","556.56","596.00","490.00","5,23,954","29,16,09,230.00","9,459"
"28-Aug-2025","EQ","563.10","563.10","556.28","563.07","558.20","556.75","558.60","596.00","490.00","15,38,142","85,92,10,633.15","19,286"
"26-Aug-2025","EQ","569.47","570.13","562.46","569.47","562.57","563.07","563.96","596.00","490.00","7,49,477","42,26,72,213.48","14,641"
"25-Aug-2025","EQ","572.98","572.98","569.09","570.05","569.50","569.47","570.08","596.00","490.00","4,08,672","23,29,76,956.97","6,482"
"22-Aug-2025","EQ","575.51","578.99","569.62","576.38","570.00","570.05","571.29","596.00","490.00","6,57,237","37,54,72,636.41","9,938"
"21-Aug-2025","EQ","579.99","579.99","575.23","575.41","576.10","576.38","576.84","596.00","490.00","1,57,105","9,06,24,339.73","4,242"
"20-Aug-2025","EQ","576.73","578.58","574.35","576.74","575.05","575.41","575.24","596.00","490.00","1,88,401","10,83,75,043.21","5,117"
"19-Aug-2025","EQ","576.99","577.80","574.39","575.55","577.15","576.74","576.46","596.00","490.00","1,97,487","11,38,43,491.11","4,212"
"18-Aug-2025","EQ","579.99","579.99","574.60","572.08","575.50","575.55","577.68","596.00","490.00","4,61,514","26,66,06,383.27","7,759"
"14-Aug-2025","EQ","572.99","572.99","568.57","570.61","572.00","572.08","571.78","596.00","490.00","2,12,130","12,12,91,193.68","4,279"
